smiles,yield
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.FC(F)(F)c1ccc(Cl)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,10.65781182
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.FC(F)(F)c1ccc(Br)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,14.7478961
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.FC(F)(F)c1ccc(I)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,18.27868619
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.COc1ccc(Cl)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,2.475057616
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.COc1ccc(Br)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,6.119058475
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.COc1ccc(I)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,5.449924218
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.CCc1ccc(Cl)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,7.802080337
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.CCc1ccc(Br)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,14.23417841
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.CCc1ccc(I)cc1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,15.41389344
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.Clc1ccccn1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,9.46569581
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.Brc1ccccn1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,15.23875818
CC(C)c1cc(C(C)C)cc(C(C)C)c1c1c(P(C2CCCCC2)C2CCCCC2)cccc1.Ic1ccccn1.CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC.o1nccc1c2ccccc2,19.59428889
